Date	User	Tweet	sentiment
2022-03-26 04:51:44+00:00	CendekiaDelapan	"Karena stimulasi untuk #anakberkebutuhankhusus tidak optimal jika dilakukan secara online.
. 
Untuk memenuhi kebutuhan tersebut, #RumahCendekia8 tetap beroperasi sesuai aturan #ppkm dgn menjaga protokol kesehatan dan seluruh staff sudah #divaksinasi 🤗"	0
2022-03-25 10:13:26+00:00	AnantaElvano	Hadir Kembali Boss!! MEGA WIN Dari https://t.co/3ge7hBt18k Jackpot Jutaan Rupiah Serta Kemenangan Extra Menanti Anda . Salam WD!! WA: +62 852-3617-8361 #bandarq #poker #bdqq #aduq #ceme #JAKARTA #KoinpelangiQQ #koinpelangi88 #PPKM #Dada #Jeha #rumini #Narkoboy https://t.co/nvi77xWTeJ	1
2022-03-23 23:15:45+00:00	mitrafmpwt	"Hayolohhhhhhhhh... seneng kannnn??

#covid19
#Corona
#PCR
#PPKM
#Radio
#RadioPurwokerto https://t.co/sy2EDvgDdC"	1
2022-03-23 10:29:52+00:00	895jizfm	"Thank You teman-teman dari #saganheritagehotel udah mampir ngobrol-ngobrol bareng @felisenyum tentang promo #PPKM ""Paket Buka Puasa Kenyang Meriah""~ https://t.co/ghBO6yPTb3"	1
2022-03-22 17:25:29+00:00	ViantAntony	Ruwet Ruwet Ruwet inilah Negeri RuwetNesia. Hebatnya Virus itu adalah dia tau Ramadhan akn datang meraka akn meperbanyak bhkn #PPKM kemungkinan di perpanjang. Yakan pak @KemenkesRI ??? https://t.co/m0wm0fkHUW	1
2022-03-22 17:10:09+00:00	ViantAntony	Ye ampun mbh anda seorang Wapres loh.&amp;Gelar anda seorang kiyai @Kiyai_MarufAmin Knp anda terus membebani rakyatnya dengan cara2 licik sperti ini.N Hebatnya Virus ini,Dia tau bentar lagi Ramadan akan Tiba. N mereka para Virus2 bersiap diri untuk memperbanyak. #PPKM https://t.co/oPkjL2oNmW	0
2022-03-22 13:10:19+00:00	mtaufikmJKT48	Mulaik kumat lagi. 😀 #ppkm https://t.co/MNDSPHJU69	0
2022-03-22 07:43:24+00:00	PunditPintar	"Welcome PPKM bau bau naik level nih, gimana nih mang
#ppkm"	0
2022-03-22 07:30:34+00:00	PYI_Indonesia	"Sesungguhnya Allah tidak menciptakan kita, hambaNya ini, sebagai makhluk yang lemah lagi mudah berputus asa. Kita sebagai manusia diciptakan Allah sebagai khalifah atau pemimpin di dunia ini, dengan kondisi yang kuat dan tangguh.
#pantiyatimindonesia #pantiyatimzakat #ppkm #aang https://t.co/bTWYU4w4Oy"	0
2022-03-22 06:56:25+00:00	PJasatama	"Negara apa sih ini...ppkm mulu otaknya pejabat udah modar apa ya...minyak naik...kebutuhan naik usaha di pampet lagi...sebwnere maunya apa sihh asuuuu memangg
Ga lo ppkm aja kami kerepotan tambah lagi ppkm
#ppkm"	0
2022-03-22 06:14:31+00:00	khoiriak	"Film bagus nih karya habaib. Tonton dah.

#mk #selasa #tempe #bareskrim #ppkm

https://t.co/6PHiOPA9e5"	1
2022-03-22 06:00:48+00:00	HeruDybala	"Aturan PPKM itu tidak jelas kalo kita tidak melawan makin tidak jelas kebijakan-kebijakan pemerintah

#PPKM"	0
2022-03-22 05:18:33+00:00	aditya20519717	#PPKM udh ga musim.. yg msih ngikut brarti bru kluar goa😂	0
2022-03-22 05:05:25+00:00	srlnd_	HAHAHA MotoGP kelar langsung #ppkm gedeg bgt	0
2022-03-22 04:56:38+00:00	FianAhmad2292	"PPKM bisa jadi akan melanda lagi, jangan sampai stress dan depresi ya, perlu belajar kayaknya #ppkm
https://t.co/ihltggUF6v"	0
2022-03-22 03:57:55+00:00	adhisunendar	"Lord mulai mewarnai peta
😂😂

Jangan tanya lord siapa?

#ppkm https://t.co/KT2wt61kth"	0
2022-03-22 03:54:26+00:00	pahitnya_kopi	"Nggak perlu berusaha melupakan...
Karna kenangan cuma caranya sendiri untuk menghilang...
#ppkm"	0
2022-03-22 03:15:26+00:00	Rakyatpantura	"Mereka bermain main dengan emosi rakyatnya . PPKM
#PPKM"	0
2022-03-22 03:07:22+00:00	ImamWijoyo	5. QUIET TIME - Nah, kl ini bisa dilakukan dimanapun, tanpa perlu bingung dg level #PPKM ya 😃... yg terpenting adalah meng-heningkan batin, refleksi,kontemplasi, kembali sinkronisasi diri kt kpd Sang Hidup... #quiettime ini bkn hanya recharge diri, jg renewing mind &amp; heart https://t.co/I0SnZQUtPT	1
2022-03-22 03:05:42+00:00	J007Prima	"Pemain belagak jadi penonton..
#ppkm https://t.co/mBORsjdmVH"	0
2022-03-17 06:47:13+00:00	ratihrachm	Adek-adek mahasiswa ngga ada ide bikin aksi menyuarakan kebijakan-kebiajakan yang ajaib ini nih! #MinyakGoreng #PPKM #motogp	0
2022-03-10 09:41:12+00:00	PutriSemesta45	"JAKARTA PPKM level 2 nih, WFO sampai Mall bisa buka tapi dengan syarat hanya 75% kapasitas'a
Alhamdulillah lah ya 😁👍
#ppkmlevel2 #jakarta #infojakarta #ppkm https://t.co/5Hsnfab2Xz"	1
2022-03-08 11:59:51+00:00	kabarsleman	"Selalu lakukan CITA MAS JAJAR (Cuci Tangan, Pakai Masker, Jaga Jarak) serta kurangi mobilitas dan hindari kerumunan.

Maturnuwun 🙏☺️

@humas_jogja 
@HumasSleman 
@kominfodiy 
@kominfo_sleman 
@mc_sleman 

#PPKM
#PPKMSleman
#Sleman"	1
2022-03-08 06:22:11+00:00	DKIJakarta	"Meski PPKM sudah turun levelnya, jangan sampai lengah dan abai, ya.

Jaga selalu imunitas dgn mengonsumsi makanan bergizi seimbang, rutin berolahraga, tidur cukup, menghindari stres, dan #vaksindulu bagi yg belum.

#ppkm #ppkmlevel2 #JagaJakarta #jakartakotakita #jakartabangkit"	1
2022-03-08 00:36:05+00:00	kemenkomarves	"Pesan akhir Pak Menko Luhut B. Pandjaitan ke #TimMarves juga ada nih.

Menko Luhut bilang bahwa, pemerintah selalu hati-hati dalam mengambil kebijakan dan selalu berpihak pada rakyat. Jadi tetap tenang, tetap disiplin protokol kesehatan, stay safe, dan stay healthy.❤

#PPKM https://t.co/qDvmlZioWF"	1
